"CEREAL","BAKEPROD","MEATS","DAIRY","FRSHFRUT","FRSHVEG","PROCFRUT","PROCVEG","SWEETS","NONALBEV","OILS","MISCFOOD","ALCBEV","SMOKSUPP","PET_FOOD","PERSPROD","DRUGSUPP","HOUSKEEP","AGE_REF","BLS_URBN","FAM_SIZE","FAM_TYPE","RACE_REF","HISP_REF"
23.24113,41.75852,57.08764,33.54323,19.22801,22.8118,7.58306,18.25788,10.32911,34.65994,15.1132,58.58641,0,0,0,0,0,0,26,1,5,5,4,2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,1,5,5,4,2
4.78,0,0,2.99,0,0,0,0,0,10.72,0,0,0,0,0,0,0,0,54,1,2,1,1,1
6.98,44.43,40.25,25.89,12.34,7.15,6.96,3.48,2.22,16.64,1.98,56.38,0,0,10.97,0,4.98,3.09,54,1,2,1,1,1
4.5,3.5,26,20.65,2.25,13,4,0,2,2.65,5.49,9.5,0,0,0,0,0,0,71,1,2,1,1,2
2.9,16.54,37.06,7.84,11.52,0,0,6.99,0,14.84,5.68,12.47,0,0,0,47.19,0,97.04,71,1,2,1,1,2
0,3.48,8.4,1.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,1,2,5,1,1
0,8.28,22.06,13.69,10.44,9.37,2.69,6.29,10.57,14.09,0,17.25,37.94,0,0,20.94,1.3,36.2,59,1,2,5,1,1
4.8,19.13,7.21,3.6,0,0,0,0,0,10.43,0,8.28,0,0,0,1.07,0,9.08,58,1,1,4,1,2
1.06,22.93,3.08,6.31,0,0,1,3.46,0,11.77,0,7.19,0,0,0,0,4.97,4.79,58,1,1,4,1,2
0,3.63,0,1.53,0,0,0,6.39,0,0,0,0,0,0,0,8.52,0,0,25,1,9,2,6,1
0,12.08,0,12.45,5.51,0,0,3.88,12.56,21.81,0,23.4,0,0,0,7.42,0,0,25,1,9,2,6,1
0,0,0,19.02,1.06,6.4,0,0,13.49,74.48,4.99,37.46,138.27,0,0,0,458.14,13.04,73,1,1,4,1,2
0,15.97,6.59,12.97,4.99,0,10.5,0,2.29,0,3.99,19.11,0,0,0,0,0,0,73,1,1,4,1,2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,1,1,4,1,2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.38,0,22.62568,26,1,1,4,1,2
5.11391,3.884,5.53544,3.90148,6.83769,9.6505,0,0,8.22767,3.32344,0,70.52586,45,0,0,0,0,0,48,1,3,3,1,2
3.44388,20.3874,18.7209,18.31572,19.77074,12.74649,6.00157,0,3.28265,16.96717,5.14065,92.22279,45,0,0,0,30,79.2,48,1,3,3,1,2
6.39,34.27,37.41,27.46,37.22,13.47,0,12.48,11.48,17.99,25.97,51.42,49.1421,21.59,5,66,0,34.98,60,2,2,1,1,2
0,9.97,24.18,27.94,5.75,5.28,0,0,0,9.17,0,25.63,0,0,0,7.49,0,19.38,60,2,2,1,1,2
0,2.4,15.54,3.07,4.1,13.01,0,0,4.94,0,0,38.39,0,0,0,0,0,61.22,39,1,3,2,1,2
0,56.54,76.23,10.8,10.5,10,5.94,4.25,3.2,21.35,4.25,33.3,7.59734,0,15.96,23.86,0,20.57,39,1,3,2,1,2
0,3.18,0,1.27,1.22,0,1.69,0,0,14.04,0,1.59,29.17,0,0,80.44,8.28,12.25,63,1,2,1,1,2
0,5.85,32.69,8.17,1.04,0,6.14,5.75,0,14.42,4.56,11.44,32.14,0,22.34,0,0,16.96,63,1,2,1,1,2
0,0,6,11,0,0,0,0,0,30,0,14,0,78.3,0,0,0,0,42,1,1,4,1,2
0,0,15,6,0,0,0,0,2,48.34,0,50,0,32.4,0,21.6,30,0,42,1,1,4,1,2
12.9573,63.91966,69.89658,47.99015,12.69386,8.35813,19.51821,9.50441,21.23843,47.93868,5.72052,49.1241,22.13,0,10.44,7.51,195.1391,26.87,41,1,5,2,1,2
6.77363,34.42154,34.71242,12.65301,9.55472,5.76291,8.82116,14.45938,11.93186,73.71279,15.97767,58.28891,40.14,0,8.79,0,36.95,0,41,1,5,2,1,2
0,0,17.48,9.48,10.91,1.62,0,12.55,3.49,4.96,3.49,12.27,0,0,0,10.25,27.85465,9.72,58,1,2,1,1,1
10.96,8.17,4.99,7.28,2.97,5.97,0,1.19,0,15.08,0,32.6,0,0,0,0,19.76,8.08,58,1,2,1,1,1
0,0,0,0,0,0,0,0,0,0,0,7.25,0,0,0,0,0,0,18,1,1,4,1,2
6.57025,26.50672,24.26415,18.8146,11.83603,9.21012,9.1254,16.16556,2.85354,11.5286,14.20471,30.89029,0,0,0,0,0,0,18,1,1,4,1,2
11.5,5,66.82,5.75,0,24.72,3.86,0,0,4.77,0,8.82,233.42,0,0,0,31,0,29,1,2,5,1,2
1.75,20.5,85.46,4.05,2.85,12.8,0,1.75,0,0,0,12.5,190,0,0,41.58309,10.63745,51.44788,29,1,2,5,1,2
3.93,1.58,2.69,4.78,0.69,0,0,2.41,1.61,9.79,0,19.9,0,0,0,0,0,4.48,58,1,1,4,1,2
0,6.19,4.12,1.99,0,0,0,2.99,0,7.87,0,23.4,0,0,0,0,0.98,2.11,58,1,1,4,1,2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,1,4,2,1,2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,1,4,2,1,2
7.35,2.59,12.37,1.09,7.76,13.11,6.19,2.74,4.69,4.86,2.5,21.67,24.73,41.34,3.54,2.85,4.24392,5.08,66,1,1,4,1,2
0,2.99,6.48,3.99,12.89,11.36,0,0,0,6.69,0,10.47,30,0,1.77,0,0,0,66,1,1,4,1,2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,1,5,2,1,1
14.03,6.99,40.77,14.94,20.98,1.36,10.55586,12.46414,0,2.18,5.36,28.48,0,0,5.36,11.37,31.56197,32.5,28,1,5,2,1,1
1.97,6.49,106.38,6.24,18.49,2.5,0,1.13,1.44,3,0,8.28,0,0,0,3.59,2.07,0,38,1,5,2,4,2
0,3.99,0,24,5,0.88,1.5,0,5.99,1.99,0,0,0,0,0,11.96,25.42,6.48,38,1,5,2,4,2
0,2.94,91.88,9.02,3.98,9.79,0,4.47,5.98,0,0,31.23,0,0,0,22.16,2.98,0,47,1,5,2,4,2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.08,47,1,5,2,4,2
1.88,0,46.7,13.69,14.9,10.33,8.49,7.99,10.76,2.79,0,30.53,18,0,0,49.44002,2.66,36.7,59,1,4,2,1,2
11.23814,8,49.52,23.97,10.97,27.87186,0,8.59,3.49,10.22,16,51.93,47.86,0,0,0,9.99,15.93,59,1,4,2,1,2
6.41,2.87,6.37,4.02,0,0,7.73,0,0,0,0,0,0,0,32.99,0,3.43,93.52,49,1,1,4,1,2
0,8.45,21.53,5.38,1.74,3.76,2.88,0,1.96,2.08,0,0,0,0,0,0,16.42,0,49,1,1,4,1,2
0,3.08,68.66,15.08,3.45,11.47,0,0,0,0,0,8.91,0,0,0,0,7.19792,7.17,63,1,2,1,1,2
0,4.53,23.76,10.42,13.14,4.98,0,0,0,0,0,3.17,0,0,0,0,102.29184,9.54121,63,1,2,1,1,2
0,39.77,47.00001,13.57,7.99,7.49,0,0,0,0,0,19.47,0,0,0,19.46,22.96,50.48,42,1,4,2,1,2
0,0,5.87,10.49,0,0,1.79,0,4.04,0.9,0,0,0,0,132.97,0,5.27,19.89,30,1,4,2,1,2
0,0,0,0,0,0,0,0,5.88,0,0,0,0,0,0,0,0,0,30,1,4,2,1,2
0,0,22.45,8.37,1.94,6.98,0,0,2.5,0,6,22.95,56.7,0,11.10528,4.34,44.22427,23.41,58,1,2,5,1,1
0,6.99,19.28,6.43,5.93,12.56,0,3.88019,0,6.05711,4.28651,29.26619,0,0,0,28.26,0,21.72,58,1,2,5,1,1
0,0.67,0,6.9,0,0,2,1,10.2,3.94,7.55,21.18,0,0,0,5.35,0,13.68,67,1,2,1,1,2
4.59,3.35,0,4.9,0,0,0,4,0,1.07,0,14.1,0,0,0,0,3.5,1.07,67,1,2,1,1,2
0,0,0,0,0,0,0,0,0,0.86,0,1.99,0,10.51,0,0,0,10.27434,21,1,1,4,1,2
0,0,0,0,0,0,0,0,0,0,0,2.5,5.5,0,0,0,0,0,21,1,1,4,1,2
4.35,0,26.25,4.5,11.3,17.74,0,0,0,11.4,3,28.64,0,0,0,19.22,6.99,0,28,1,4,5,1,1
4.05,2,56.74,31.44,12.73,11.11,0.42797,0.57203,0,6.05,0,17.73,0,0,0,0,0,28.89,28,1,4,5,1,1
0,0,61.09,0,0,0,0,0,0,0,0,6.81,0,0,0,0,0,29.38,72,1,2,1,1,2
2.38,7.42,22.95,18.1,8.08,13.85,1.19,8.54,0,11.98,0,20.19,0,0,0,0,0,0,72,1,2,1,1,2
3.49405,14.85125,16.08392,13.26045,38.17644,15.96051,7.0478,7.55115,0,20.40579,0,64.33861,0,0,41.53,4.21,0,32.5,72,1,2,1,1,2
0,8.18,44.62,7.47,14.15,2.11,0,7.78,0,34.44,0,11.81,0,0,0,0,0,0,72,1,2,1,1,2
10,0.99,3.7,5.47,3.29,11.46,2,1,0,0,0,15.96,0,0,0,5.42978,1.25,9.81022,66,1,2,5,1,2
16.07,7.08,11.9,9.78,0.62,0.99,3,5,0,0,1.89,5.99,0,0,0,2.13,0,5.74637,66,1,2,5,1,2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,1,1,4,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,1,1,4,1,1
1.22,25.66,95.34,55.02,7.17,7.37,5.14424,9.64576,16.19,39.57,9.22,96.08,65.17,2.17,22.68,0,23.51,18.5,56,1,3,2,1,2
0,11.1,6.39,3.59,4.71,0,0,1.28,3.7,2.06,0,9.2,33.03,2.16,0,0,0,2.93,56,1,3,2,1,2
5.57,3.49,19.07,13.93,0,1.99,0,0,4.28,2.13,3.45,11.34,18.42249,0,34.47,0,0,26.76,30,1,4,2,1,2
0,4.78,37.61,6.36,4.38,1.99,0,0,0,0,4.6,22.05,16.44865,0,0,0,0,3.21,30,1,4,2,1,2
0,2.99,1.29,5.96,0,0,0,8.18,3,10.56,0,14.48,0,0,0,0,0,0,73,1,1,4,1,2
0,0,1.29,0,0,0,0,0,0,2.97,0,19.96,0,0,0,0,0,0,73,1,1,4,1,2
0,0,0,0,0,0,0,0,0,9.72,0,0,7.5,0,0,0,0,0,52,1,1,4,1,2
7.78,10.49,0,0,0,0,11.98,0,0,3.6,0,19.07,0,0,0,0,0,0,52,1,1,4,1,2
0,0,34.1,7.94,0,0,0,0,7.96,6.34,0,11.67,0,0,0,0,0,1.06,62,1,2,5,1,2
0,10.96,0,5.73,0.48,0,0,0,0,18.52,3.63,13.69,15.51,0,0,8.34,3.5,14.81,62,1,2,5,1,2
4.9554,17.89097,177.68686,19.89406,12.23873,10.90604,0,21.61477,7.75501,16.4978,14.5425,39.04786,0,0,0,0,0,10.96422,39,1,5,2,1,2
4.99,24.61,85.09001,14.47,0,5.58,0,0,10,27.85,5.98,46.56,0,0,7.98,8.4,6.79,8.18,39,1,5,2,1,2
